"","ticker","name","cik","occurrence","date_added","date_removed","name_when_added","name_when_removed"
"390","PTC","PTC",857005,1,2021-04-20,NA,"PTC",NA
"391","PEG","Public Service Enterprise Group",788784,1,NA,NA,NA,NA
"392","PSA","Public Storage",1393311,1,NA,NA,NA,NA
"393","PHM","PulteGroup",822416,1,NA,NA,NA,NA
"394","PVH","PVH",78239,1,2013-02-15,2022-09-19,"PVH","PVH"
"395","QRVO","Qorvo",1604778,1,2015-06-11,2024-12-23,"Qorvo","Qorvo"
"396","PWR","Quanta Services",1050915,1,NA,NA,NA,NA
"397","QCOM","Qualcomm",804328,1,NA,NA,NA,NA
"398","DGX","Quest Diagnostics",1022079,1,NA,NA,NA,NA
"399","RL","Ralph Lauren Corporation",1037038,1,NA,NA,NA,NA
"400","RJF","Raymond James Financial",720005,1,2017-03-20,NA,"Raymond James Financial",NA
"401","RTX","Raytheon Technologies",101829,1,NA,NA,NA,NA
"402","O","Realty Income Corporation",726728,1,2015-04-07,NA,"Realty Income Corporation",NA
"403","REG","Regency Centers",910606,1,2017-03-02,NA,"Regency Centers",NA
"404","REGN","Regeneron Pharmaceuticals",872589,1,2013-04-30,NA,"Regeneron Pharmaceuticals",NA
"405","RF","Regions Financial Corporation",1281761,1,NA,NA,NA,NA
"406","RSG","Republic Services",1060391,1,NA,NA,NA,NA
"407","RMD","ResMed",943819,1,2017-07-26,NA,"ResMed",NA
"408","RHI","Robert Half International",315213,1,NA,2024-06-24,NA,"Robert Half"
"409","ROK","Rockwell Automation",1024478,1,NA,NA,NA,NA
"410","ROL","Rollins",84839,1,2018-10-01,NA,"Rollins",NA
"411","ROP","Roper Technologies",882835,1,NA,NA,NA,NA
"412","ROST","Ross Stores",745732,1,NA,NA,NA,NA
"413","RCL","Royal Caribbean Group",884887,1,2014-12-05,NA,"Royal Caribbean Cruises",NA
"414","SPGI","S&P Global",64040,1,NA,NA,NA,NA
"415","CRM","Salesforce",1108524,1,2008-09-12,NA,"Salesforce",NA
"416","SBAC","SBA Communications",1034054,1,2017-09-01,NA,"SBA Communications",NA
"417","SLB","Schlumberger",87347,1,NA,NA,NA,NA
"418","STX","Seagate Technology",1137789,1,2012-07-02,NA,"Seagate Technology",NA
"419","SEE","Sealed Air",1012100,1,NA,2023-12-18,NA,"Sealed Air"
"420","SRE","Sempra Energy",1032208,1,NA,NA,NA,NA
"421","NOW","ServiceNow",1373715,1,2019-11-21,NA,"ServiceNow",NA
"422","SHW","Sherwin-Williams",89800,1,NA,NA,NA,NA
"423","SPG","Simon Property Group",1063761,1,NA,NA,NA,NA
